Congressional District,Estimate,Uncertainty,Democrat,Republican
South Carolina 5th,0.3675,0.05693,Evangeline Hundley (D),Ralph Roman* (R)
South Carolina 6th,0.6499,0.05693,Jim Clyburn* (D),Duke Buckner (R)
South Carolina 7th,0.368,0.05693,Mal Hyman (D),Russell Fry* (R)
South Dakota At-Large,0.3235,0.05693,Sheryl Johnson (D),Dusty Johnson* (R)
Tennessee 1st,0.1899,0.05693,Kevin Jenkins (D),Diana Harshbarger* (R)
Tennessee 2nd,0.3064,0.05693,Jane George (D),Tim Burchett* (R)
Tennessee 3rd,0.297,0.05693,Jack Allen (D),Chuck Fleischmann* (R)
Tennessee 4th,0.2685,0.05693,Victoria Broderick (D),Scott DesJarlais* (R)
Tennessee 5th,0.3966,0.05693,Maryam Abolfazli (D),Andy Ogles* (R)
Tennessee 6th,0.3115,0.05693,Lore Bergman (D),John Rose* (R)
Tennessee 7th,0.382,0.05693,Megan Barry (D),Mark Green* (R)
Tennessee 8th,0.2737,0.05693,Sarah Freeman (D),David Kustoff* (R)
Tennessee 9th,0.7339,0.05693,Steve Cohen* (D),Charlotte Bergmann (R)
Texas 1st,0,0.05693,No Candidate,Nathaniel Morgan* (R)
Texas 2nd,0.3352,0.05693,Peter Filler (D),Dan Crenshaw* (R)
Texas 3rd,0.3734,0.05693,Sandeep Srivastava (D),Keith Self* (R)
Texas 4th,0.3202,0.05693,Simon Cardell (D),Pat Fallon* (R)
Texas 5th,0.341,0.05693,Ruth Torres (D),Lance Gooden* (R)
Texas 6th,0.3325,0.05693,John Love III (D),Jake Ellzey* (R)
Texas 7th,0.6391,0.05693,Lizzie Fletcher* (D),Caroline Kane (R)
Texas 8th,0.3197,0.05693,Laura Jones (D),Morgan Luttrell* (R)
Texas 9th,1,0.05693,Al Green* (D),No Candidate
Texas 10th,0.3571,0.05693,Theresa Boisseau (D),Michael McCaul (R)
Texas 11th,0,0.05693,No Candidate,August Pfluger* (R)
Texas 12th,0.3716,0.05693,Trey Hunt (D),Craig Goldman (R)
Texas 13th,0,0.05693,No Candidate,Ronny Jackson* (R)
Texas 14th,0.319,0.05693,Rhonda Hart (D),Randy Weber* (R)
Texas 15th,0.4681,0.05693,Michelle Vallejo (D),Monica De La Cruz* (R)
Texas 16th,0.678,0.05693,Veronica Escobar* (D),Irene Armendariz-Jackson (R)
Texas 17th,0.3403,0.05693,Mark Lorenzen (D),Pete Sessions* (R)
Texas 18th,0.7306,0.05693,Sylvester Turner (D),Lana Centonze (R)
Texas 19th,0,0.05693,No Candidate,Jodey Arrington* (R)
Texas 20th,1,0.05693,Joaquin Castro* (D),No Candidate
Texas 21st,0.3515,0.05693,Kristin Hook (D),Chip Roy* (R)
Texas 22nd,0.3722,0.05693,Marquette Greene-Scott (D),Troy Nehls* (R)
Texas 23rd,0.4291,0.05693,Santos Limon (D),Tony Gonzales* (R)
Texas 24th,0.3843,0.05693,Sam Eppler (D),Beth Van Duyne* (R)
Texas 25th,0,0.05693,No Candidate,Roger Williams* (R)
Texas 26th,0.364,0.05693,Ernest Lineburger (D),Brandon Gill (R)
Texas 27th,0.3501,0.05693,Tanya Lloyd (D),Michael Cloud* (R)
Texas 28th,0.5363,0.05693,Henry Cuellar* (D),Jay Furman (R)
Texas 29th,0.6923,0.05693,Sylvia Garcia* (D),Alan Garza (R)
Texas 30th,1,0.05693,Jasmine Crockett* (D),No Candidate
Texas 31st,0.3461,0.05693,Stuart Whitlow (D),John Carter* (R)
Texas 32nd,0.6358,0.05693,Julie Johnson (D),Darrell Day (R)
Texas 33rd,0.7474,0.05693,Marc Veasy* (D),Patrick Gillespie (R)
Texas 34th,0.591,0.05693,Vicente Gonzalez* (D),Mayra Flores (R)
Texas 35th,0.719,0.05693,Greg Casar* (D),Steven Wright (R)
Texas 36th,0.3019,0.05693,Dayna Steele (D),Brian Babin* (R)
Texas 37th,0.7541,0.05693,Lloyd Dogget* (D),Jenny Garcia Sharon (R)
Texas 38th,0.3591,0.05693,Melissa McDonough (D),Wesley Hunt* (R)
Utah 1st,0.36,0.05693,Bill Campbell (D),Blake Moore* (R)
Utah 2nd,0.3703,0.05693,Nathaniel Woodward (D),Celeste Maloy* (R)
Utah 3rd,0.3636,0.05693,Glenn Wright (D),Mike Kennedy (R)
Utah 4th,0.3246,0.05693,Katrina Fallick-Wang (D),Burgess Owens* (R)
Vermont At-Large,0.6625,0.05693,Becca Balint* (D),Mark Coester (R)
Virginia 1st,0.4161,0.05693,Leslie Mehta (D),Rob Wittman* (R)
Virginia 2nd,0.4587,0.05693,Missy Cotter Smasal (D),Jen Kiggans* (R)
Virginia 3rd,0.6758,0.05693,Bobby Scott* (D),John Sitka (R)
Virginia 4th,0.6624,0.05693,Jennifer McClellan* (D),Bill Moher (R)
Virginia 5th,0.4246,0.05693,Gloria Witt (D),John McGuire (R)
Virginia 6th,0.3429,0.05693,Ken Mitchell (D),Ben Cline* (R)
Virginia 7th,0.4992,0.05693,Eugene Vindman (D),Derrick Anderson (R)
Virginia 8th,0.7731,0.05693,Don Beyer* (D),Jerry Torres (R)
Virginia 9th,0.2519,0.05693,Karen Baker (D),Morgan Griffith* (R)
Virginia 10th,0.5502,0.05693,Suhas Subramanyam (D),Mike Clancy (R)
Virginia 11th,0.6889,0.05693,Gerry Connolly* (D),Mike Van Meter (R)
Washington 1st,0.6394,0.05693,Suzan DelBene* (D),Jeb Brewer (R)
Washington 2nd,0.5982,0.05693,Rick Larsen* (D),Cody Hart (R)
Washington 3rd,0.4581,0.05693,Marie Gluesenkamp Perez* (D),Joe Kent (R)
Washington 4th,0,0.05693,No Candidate,Dan Newhouse* (R)
Washington 5th,0.416,0.05693,Carmela Conroy (D),Michael Baumgartner (R)
Washington 6th,0.5565,0.05693,Emily Randall (D),Drew MacEwen (R)
Washington 7th,0.8846,0.05693,Pramila Jayapal* (D),Dan Alexander (R)
Washington 8th,0.5147,0.05693,Kim Schrier* (D),Carmen Goers (R)
Washington 9th,1,0.05693,Adam Smith* (D),No Candidate
Washington 10th,0.5714,0.05693,Marilyn Strickland* (D),Don Hewett (R)
West Virginia 1st,0.2546,0.05693,Chriss Reed (D),Carol Miller* (R)
West Virginia 2nd,0.2822,0.05693,Steven Wendelin (D),Riley Moore (R)
Wisconsin 1st,0.4506,0.05693,Peter Barca (D),Bryan Steil* (R)
Wisconsin 2nd,0.6977,0.05693,Mark Pocan* (D),Erik Olsen (R)
Wisconsin 3rd,0.4381,0.05693,Rebecca Cooke (D),Derrick Van Orden* (R)
Wisconsin 4th,0.7589,0.05693,Gwen Moore* (D),Tim Rogers (R)
Wisconsin 5th,0.3406,0.05693,Ben Steinhoff (D),Scott Fitzgerald* (R)
Wisconsin 6th,0.3801,0.05693,John Zarbano (D),Glenn Grothman* (R)
Wisconsin 7th,0.3603,0.05693,Kyle Kilbourn (D),Tom Tiffany* (R)
Wisconsin 8th,0.3922,0.05693,Kristin Lyerly (D),Tony Wied (R)
Wyoming At-Large,0.2351,0.05693,Kyle Cameron (D),Harriet Hageman* (R)
